Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Use production,Supplier,Purchase cost,Available for sale [JERGUN CRAFT],Price [JERGUN CRAFT],In stock [JERGUN CRAFT],Low stock [JERGUN CRAFT],Optimal stock [JERGUN CRAFT]
หมูสวรรค์150g,10327,หมูสวรรค์150g,ผลิตภัณฑ์ท้องถิ่นนครพนม,,N,,,,,,,85.00,JC10327,,,Y,,แม่นิตย์,0.00,Y,125.00,0.000,6.000,12.000
หมูหยองหวาน(กล่อง)-200-g,10167,หมูหยองหวาน(กล่อง) 200 g,ผลิตภัณฑ์ท้องถิ่นนครพนม,,N,,,,,,,86.06,JC10167,,,Y,,เจ๊เนย นาจอก,0.00,Y,150.00,7.000,9.000,19.000
หมูหยองเค็ม(กล่อง)200g,10464,หมูหยองเค็ม(กล่อง)200g,ผลิตภัณฑ์ท้องถิ่นนครพนม,,N,,,,,,,91.62,JC10464,,,Y,,เจ๊เนย นาจอก,0.00,Y,150.00,12.000,15.000,30.000
หมูแดดเดียว200g,10680,หมูแดดเดียว 200g (โคขุนนครพนม),อาหารสด,,N,,,,,,,70.00,JC10680,,,Y,,โคขุนนครพนม,0.00,Y,99.00,13.000,5.000,10.000
องุ่นมัสแคท-ซีโร่,10258,องุ่นมัสแคท ซีโร่ 265 ml (โซดาคราฟท์),โซดาคราฟท์,,N,,,,,,,37.08,JC10258,,,Y,,คลาสทาวน์,0.00,Y,50.00,9.000,6.000,12.000
อัลมอนด์มีเปลือกอบเนย-400g-กู๊ดดี๊,10788,อัลมอนด์มีเปลือกอบเนย 400g กู๊ดดี๊,ขนมขบเคี้ยวและของหวาน,,N,,,,,,,151.36,8859380303261,,,Y,,บริษัท ซันฟู้ดส์ เทรดดิ้ง,,Y,209.00,3.000,,20.000
อีสานรัม,10430,อีสานรัม1000 ml,สุราชุมชน,,N,,,,,,,833.33,JC10430,,,Y,,บจก.วีวีสปิริตส์,0.00,Y,1399.00,0.000,,
อื่นๆ-10-บาท,10898,อื่นๆ 10 บาท,,,N,,,,,,,0.00,JC10898,,,N,,,,Y,10.00,,,
อื่นๆ-15-บาท,10899,อื่นๆ 15 บาท,,,N,,,,,,,0.00,JC10899,,,N,,,,Y,15.00,,,
อื่นๆ-20-บาท,10900,อื่นๆ 20 บาท,,,N,,,,,,,0.00,JC10900,,,N,,,,Y,20.00,,,
อื่นๆ-5-บาท,10897,อื่นๆ 5 บาท,,,N,,,,,,,0.00,JC10897,,,N,,,,Y,5.00,,,
อุแม่ทองแย้ม-ช้างเผือก,10180,อุแม่ทองแย้ม ช้างเผือก,ผลิตภัณฑ์ท้องถิ่นนครพนม,,N,,,,,,,285.00,JC10180,,,Y,,อุแม่ทองแย้ม,0.00,Y,390.00,34.000,12.000,24.000
เขียดแห้ง100g,10188,เขียดแห้ง 80 g (บ้านยางงอย),ของแห้งและเครื่องปรุง,,N,,,,,,,80.00,JC10188,,,Y,,กลุ่มแปรรูปผลิตภัณฑ์จากปลา บ้านยางงอย,0.00,Y,100.00,9.000,12.000,24.000
เคียวโฮ-ไอซ์ทีโซดา,10093,เคียวโฮ ไอซ์ทีโซดา 265 ml (โซดาคราฟท์),โซดาคราฟท์,,N,,,,,,,36.79,JC10093,,,Y,,คลาสทาวน์,0.00,Y,50.00,5.000,6.000,12.000
เจลลี่โคล่า,10067,เจลลี่โคล่า 265 ml (โซดาคราฟท์),โซดาคราฟท์,,N,,,,,,,37.08,JC10067,,,Y,,คลาสทาวน์,0.00,Y,50.00,10.000,6.000,12.000
เชอรี่โคล่า,10210,เชอรี่โคล่า 265 ml (โซดาคราฟท์),โซดาคราฟท์,,N,,,,,,,37.08,JC10210,,,Y,,คลาสทาวน์,0.00,Y,50.00,5.000,3.000,6.000
เดอะเขาค้อ330ml.,10018,เดอะเขาค้อ330ml.,สุราชุมชน,,N,,,,,,,350.00,8857200748018,,,Y,,วิสาหกิจชุมชนภูแลนคา ไวท์,0.00,Y,490.00,0.000,5.000,10.000
เนสกาแฟเอสเปรสโซ,10013,เนสกาแฟเอสเปรสโซ180ml,น้ำดื่ม เครื่องดื่ม และผงชงดื่ม,,N,,,,,,,13.02,8851012103706,,,Y,,บริษัท สยามแม็คโคร จำกัด (มหาชน),0.00,Y,17.00,25.000,0.000,
เนื้อแดดเดียว200g,10681,เนื้อแดดเดียว200g (โคขุนนครพนม),อาหารสด,,N,,,,,,,85.00,JC10681,,,Y,,โคขุนนครพนม,0.00,Y,109.00,14.000,5.000,10.000
