Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Use production,Supplier,Purchase cost,Available for sale [JERGUN CRAFT],Price [JERGUN CRAFT],In stock [JERGUN CRAFT],Low stock [JERGUN CRAFT],Optimal stock [JERGUN CRAFT]
beerlao-lager-can-500ml.,10764,BEERLAO LAGER CAN 500ML.,เบียร์คราฟท์,,N,,,,,,,63.29,8859313500064,,,Y,,บริษัท โดโด้ ลิเคอร์ สโตร์ จำกัด,63.29,Y,89.00,20.000,36.000,72.000
beerlao-white-bottle-330ml,10191,BEERLAO WHITE BOTTLE 330ml,เบียร์คราฟท์,,N,,,,,,,59.00,8859313502242,,,Y,,บริษัท โดโด้ ลิเคอร์ สโตร์ จำกัด,59.00,Y,70.00,98.000,24.000,72.000
belching-beaver-viva-la-beaver-7.5%-355ml.,10809,Belching Beaver viva La Beaver 7.5% 355ml.,เบียร์คราฟท์,,N,,,,,,,119.00,810960024745,,,Y,,"BEERVANA (THAILAND) CO., LTD.",119.00,Y,160.00,3.000,3.000,6.000
belle-goelette-rouge-750ml,10537,Belle Goelette Rouge 750ml,ไวน์,,N,,,,,,,320.00,3700904307645,,,Y,,บริษัท ทัช คอมเมอร์เชียล โฮลดิ้ง จำกัด,320.00,Y,369.00,13.000,6.000,12.000
best-buddy-bangkaew-lychee-ipa-330-ml,10406,Best Buddy Bangkaew Lychee IPA 330 ml,เบียร์คราฟท์,,N,,,,,,,118.77,8859695700175,,,Y,,บริษัท เมอรี่ ริช ด๊อก จำกัด,118.77,Y,129.00,7.000,3.000,9.000
best-buddy-black-kitty-cream-ale-5%--330ml.,10652,Best Buddy Black Kitty Cream Ale 5%  330ml.,เบียร์คราฟท์,,N,,,,,,,118.19,8859695700526,,,Y,,บริษัท เมอรี่ ริช ด๊อก จำกัด,118.19,Y,129.00,9.000,3.000,6.000
best-buddy-corgi-orange-witbier-330-ml,10407,Best Buddy Corgi Orange Witbier 330 ml,เบียร์คราฟท์,,N,,,,,,,116.50,8859695700168,,,Y,,บริษัท เมอรี่ ริช ด๊อก จำกัด,,Y,129.00,4.000,3.000,9.000
best-buddy-french-bulldog-white-ipa-5%--330ml.,10656,Best Buddy French Bulldog White IPA 5%  330ml.,เบียร์คราฟท์,,N,,,,,,,118.77,8859695700557,,,Y,,บริษัท เมอรี่ ริช ด๊อก จำกัด,118.77,Y,129.00,7.000,3.000,6.000
best-buddy-golden-retriever-peach-golden-ale-5%--330ml.,10655,Best Buddy Golden Retriever Peach Golden Ale 5%  330ml.,เบียร์คราฟท์,,N,,,,,,,114.75,8859695700540,,,Y,,บริษัท เมอรี่ ริช ด๊อก จำกัด,114.75,Y,129.00,0.000,3.000,6.000
best-buddy-orange-tabby-orange-pilsner-5%--330ml.,10653,Best Buddy Orange Tabby Orange Pilsner 5%  330ml.,เบียร์คราฟท์,,N,,,,,,,105.00,8859695700533,,,Y,,บริษัท เมอรี่ ริช ด๊อก จำกัด,105.00,Y,129.00,0.000,,
best-buddy-pomeranian-strawberry-rosee-330-ml,10408,Best Buddy Pomeranian Strawberry Rosee 330 ml,เบียร์คราฟท์,,N,,,,,,,118.77,8859695700151,,,Y,,บริษัท เมอรี่ ริช ด๊อก จำกัด,118.77,Y,129.00,6.000,3.000,9.000
best-buddy-siberianhusky-vanillablueberry-stout-330-ml,10409,Best Buddy SiberianHusky VanillaBlueberry Stout 330 ml,เบียร์คราฟท์,,N,,,,,,,112.42,8859695700144,,,Y,,บริษัท เมอรี่ ริช ด๊อก จำกัด,112.42,Y,129.00,6.000,3.000,9.000
big-nose-cabernet-merlot-roselle-750ml,10722,BIG NOSE Cabernet Merlot Roselle 750ML,ไวน์,,N,,,,,,,310.30,8859515900501,,,Y,,บริษัท ซีซีเอ็ม แบรนด์ จำกัด,310.30,Y,399.00,18.000,3.000,6.000
big-nose-cabernet-sauignon-roselle,10720,BIG NOSE Cabernet Sauignon Roselle 750ML,ไวน์,,N,,,,,,,310.54,8859515900518,,,Y,,บริษัท ซีซีเอ็ม แบรนด์ จำกัด,310.54,Y,399.00,19.000,3.000,6.000
big-nose-shiraz-cabernet-roselle-750ml,10721,BIG NOSE Shiraz Cabernet Roselle 750ML,ไวน์,,N,,,,,,,313.44,8859515900495,,,Y,,บริษัท ซีซีเอ็ม แบรนด์ จำกัด,313.44,Y,399.00,15.000,3.000,6.000
big-nose-shiraz-roselle-750ml,10723,BIG NOSE Shiraz Roselle 750ML,ไวน์,,N,,,,,,,312.10,8859515900488,,,Y,,บริษัท ซีซีเอ็ม แบรนด์ จำกัด,312.10,Y,399.00,13.000,3.000,6.000
black-bottle-brandy-700-ml,10426,Black Bottle Brandy 700 ml,เหล้านำเข้า,,N,,,,,,,588.50,9332364000855,,,Y,,บริษัท แอมโบรส ไวน์ จำกัด,588.50,Y,699.00,8.000,6.000,12.000
ฺblanche-de-namur-set-with-glass(set),10502,Blanche De Namur set with glass(SET) 330*3 ml,เบียร์คราฟท์,,N,,,,,,,682.35,5411633333017,,,Y,,บริษัท กัปตันบาร์เรล จำกัด,682.35,Y,899.00,2.000,1.000,3.000
blend-285-700ml.,10804,Blend 285 Signature 700ml.,สุรา,,N,,,,,,,303.00,8855155000748,,,Y,,บริษัท แคชแวน แมนเนจเม้นท์ จำกัด,303.00,Y,325.00,23.000,12.000,30.000
block-60-dry-red-750ml,10540,BLOCK 60 DRY RED 750ml,ไวน์,,N,,,,,,,260.07,9334463001337,,,Y,,บริษัท ทัช คอมเมอร์เชียล โฮลดิ้ง จำกัด,260.07,Y,299.00,11.000,3.000,6.000
bouchon-select-cab.-sauv.20/750ml-ca,10835,Bouchon Select Cab. Sauv.20/750ml,ไวน์,,N,,,,,,,790.00,083051170175,,,Y,,บริษัท อินเตอร์ เบฟเวอเรจ กรุ๊ป จำกัด,790.00,Y,999.00,1.000,4.000,
bouchon-sup.-chardonnay-21/750ml-c,10833,Bouchon Sup. Chardonnay 21/750ml,ไวน์,,N,,,,,,,790.00,083051170182,,,Y,,บริษัท อินเตอร์ เบฟเวอเรจ กรุ๊ป จำกัด,790.00,Y,999.00,7.000,4.000,8.000
bouchon-sup.-merlot'20-750ml.,10839,Bouchon Sup. Merlot'20 750ml.,ไวน์,,N,,,,,,,790.00,083051170199,,,Y,,บริษัท อินเตอร์ เบฟเวอเรจ กรุ๊ป จำกัด,790.00,Y,999.00,3.000,4.000,8.000
box-set-call-me-papa,11003,Box Set CALL ME PAPA,เบียร์คราฟท์,,N,,,,,,,862.00,JC11003,,,Y,,บริษัท คอลมีปาป๊า จำกัด,862.00,Y,999.00,1.000,1.000,
box-set-สังเวียน-:-l,10605,Box Set สังเวียน : L,สุราชุมชน,,N,,,,,,,1330.00,JC10605,,,Y,,บริษัท กรกนกอินเตอร์ฟูดส์ จำกัด,1330.00,Y,1590.00,5.000,0.000,1.000
box-set-สังเวียน-:-m,10606,Box Set สังเวียน : M,สุราชุมชน,,N,,,,,,,1005.83,JC10606,,,Y,,บริษัท กรกนกอินเตอร์ฟูดส์ จำกัด,1005.83,Y,1290.00,5.000,1.000,2.000
box-set-สังเวียน-:-s,10607,Box Set สังเวียน : S,สุราชุมชน,,N,,,,,,,740.00,JC10607,,,Y,,บริษัท กรกนกอินเตอร์ฟูดส์ จำกัด,740.00,Y,990.00,5.000,1.000,2.000
ฺbrainfill-reviver-pilsner-lager,10454,Brainfill Reviver Pilsner Lager 490 ml,เบียร์คราฟท์,,N,,,,,,,115.00,8855796039336,,,Y,,บริษัท กรุ๊ปบี จำกัด,115.00,Y,159.00,0.000,3.000,6.000
brew-lander-inception,10272,Brew lander Inception 340 ml,เบียร์คราฟท์,,N,,,,,,,132.00,619185282011,,,Y,,บริษัท เบียร์ทีค จำกัด,132.00,Y,180.00,5.000,3.000,9.000
brewlander-joy,10306,Brewlander Joy 330 ml,เบียร์คราฟท์,,N,,,,,,,100.79,757347661660,,,Y,,บริษัท เบียร์ทีค จำกัด,100.79,Y,170.00,2.000,3.000,9.000
brewlander-joy-4.5%-340ml.,10810,Brewlander Joy 4.5% 340ml.,เบียร์คราฟท์,,N,,,,,,,86.66,619185282653,,,Y,,"BEERVANA (THAILAND) CO., LTD.",86.66,Y,119.00,0.000,3.000,6.000
brewlander-love-wild,10305,Brewlander Love Wild 330 ml,เบียร์คราฟท์,,N,,,,,,,132.00,757347661684,,,Y,,บริษัท เบียร์ทีค จำกัด,132.00,Y,180.00,2.000,3.000,9.000
brother-raspberry&blackberry-500-ml,10925,Brother Raspberry&Blackberry 500 ml,เบียร์คราฟท์,,N,,,,,,,158.36,5027342006335,,,Y,,บริษัท เมอรี่ ริช ด๊อก จำกัด,158.36,Y,190.00,8.000,6.000,6.000
brothers--cloudy-lemon-500ml,10510,Brothers  Cloudy Lemon 500ml,เบียร์คราฟท์,,N,,,,,,,145.00,5027342001293,,,Y,,บริษัท เมอรี่ ริช ด๊อก จำกัด,145.00,Y,190.00,1.000,3.000,6.000
brothers-orange-&-lemon-4%--500ml.,10871,Brothers Orange & Lemon 4%  500ml.,เบียร์คราฟท์,,N,,,,,,,158.55,5027342006359,,,Y,,บริษัท เมอรี่ ริช ด๊อก จำกัด,158.55,Y,190.00,10.000,3.000,6.000
brothers-pear-&-apple-4%-500ml.,10872,Brothers Pear & Apple 4% 500ml.,เบียร์คราฟท์,,N,,,,,,,158.36,5027342006397,,,Y,,บริษัท เมอรี่ ริช ด๊อก จำกัด,,Y,190.00,9.000,3.000,6.000
brothers-raspberry-&-lime-4%-500ml.,10873,Brothers Raspberry & Lime 4% 500ml.,เบียร์คราฟท์,,N,,,,,,,158.36,5027342006373,,,Y,,บริษัท เมอรี่ ริช ด๊อก จำกัด,158.36,Y,190.00,7.000,3.000,6.000
brothers-toffee-apple,10770,Brothers Toffee Apple 500 ml,เบียร์คราฟท์,,N,,,,,,,158.36,5027342001316,,,Y,,บริษัท เมอรี่ ริช ด๊อก จำกัด,158.36,Y,190.00,6.000,3.000,6.000
bushman's-guily-dry-red-bin-357-ขวด-1.5-lt,10783,Bushman's Guily Dry Red Bin 357 ขวด 1.5 Ltr,ไวน์,,N,,,,,,,496.32,9313748032938,,,Y,,บริษัท ทัช คอมเมอร์เชียล โฮลดิ้ง จำกัด,496.32,Y,549.00,1.000,3.000,6.000
"bushran's-guity-criap-dry-white-bin-789,-ขว-1.5-ltr,",10784,Bushman's Guity Criap Dry White Bin 789 1.5 Ltr,ไวน์,,N,,,,,,,480.00,9313748032945,,,Y,,บริษัท ทัช คอมเมอร์เชียล โฮลดิ้ง จำกัด,480.00,Y,549.00,2.000,3.000,6.000
"c129-santa-rita-3tres-medallas-sauvignon-blanc-2022,75cl",10544,C129 SANTA RITA 3TRES MEDALLAS SAUVIGNON BLANC 2022 75 ml,ไวน์,,N,,,,,,,352.90,7804330006724,,,Y,,บริษัท ทัช คอมเมอร์เชียล โฮลดิ้ง จำกัด,352.90,Y,399.00,11.000,3.000,6.000
"c16-santa-rita-tres-medallas-roes-2022,75cl",10543,C16 SANTA RITA TRES MEDALLAS ROES 2022 750 ml,ไวน์,,N,,,,,,,347.22,7804330007653,,,Y,,บริษัท ทัช คอมเมอร์เชียล โฮลดิ้ง จำกัด,347.22,Y,399.00,13.000,3.000,6.000
call-me-mama-witbier-5%,10848,CALL ME MAMA-witbier 5% 490 ml,เบียร์คราฟท์,,N,,,,,,,136.66,8855796036038,,,Y,,บริษัท คอลมีปาป๊า จำกัด,136.66,Y,189.00,10.000,6.000,12.000
call-me-papa-double-hazy-ipa,10673,CALL ME PAPA Double Hazy IPA 490 ml,เบียร์คราฟท์,,N,,,,,,,188.95,8855796036779,,,Y,,บริษัท คอลมีปาป๊า จำกัด,188.95,Y,249.00,14.000,3.000,6.000
call-me-papa-hazy-milkshake-ipa,10086,Call me papa Hazy Milkshake IPA 490 ml,เบียร์คราฟท์,,N,,,,,,,170.00,8855796036021,,,Y,,บริษัท คอลมีปาป๊า จำกัด,170.00,Y,229.00,12.000,3.000,9.000
call-me-papa-moderm-lager-5%-490ml,10149,Call Me Papa Moderm Lager 5% 490ml,เบียร์คราฟท์,,N,,,,,,,120.00,8855796040882,,,Y,,บริษัท คอลมีปาป๊า จำกัด,120.00,Y,169.00,8.000,6.000,
carabao-dunkel-320ml,11039,Carabao Dunkel 320ml,เบียร์,,N,,,,,,,33.75,8859753900141,,,Y,,บริษัท โดโด้ ลิเคอร์ สโตร์ จำกัด,33.75,Y,40.00,118.000,60.000,120.000
carabao-lager-320ml,11038,Carabao Lager 320ml,เบียร์,,N,,,,,,,33.75,8859753900134,,,Y,,บริษัท โดโด้ ลิเคอร์ สโตร์ จำกัด,33.75,Y,40.00,118.000,60.000,120.000
"casdie-creck-crisp-dry-white-bin-548,-1.5-ltr",10780,Casdie Creck Crisp Dry White BIN 548 1.5 LTR,ไวน์,,N,,,,,,,480.00,9311880015574,,,Y,,บริษัท ทัช คอมเมอร์เชียล โฮลดิ้ง จำกัด,480.00,Y,549.00,6.000,3.000,6.000
"caste-creek-dry-red-bin-569-1.5-ltr,",10779,Caste Creek Dry Red Bin 569 1.5 LTR,ไวน์,,N,,,,,,,480.00,9311880015598,,,Y,,บริษัท ทัช คอมเมอร์เชียล โฮลดิ้ง จำกัด,480.00,Y,549.00,6.000,3.000,6.000
"charles-strong-reserve-classic-bin991-red,75-cl.",10691,Charles Strong Reserve Classic BIN991 Red 750 ml.,ไวน์,,N,,,,,,,350.00,9334463001443,,,Y,,บริษัท ทัช คอมเมอร์เชียล โฮลดิ้ง จำกัด,350.00,Y,399.00,14.000,3.000,6.000
chateau-haut-lamothe-aoc-bordeaux-2023-75-cl,10941,Chateau Haut Lamothe AOC Bordeaux 2023 75 cl,ไวน์,,N,,,,,,,400.01,3500610061387,,,Y,,บริษัท ทัช คอมเมอร์เชียล โฮลดิ้ง จำกัด,400.01,Y,469.00,0.000,6.000,12.000
chateau-haut-miramb-aoc-bordeaux-2022-75-cl,10942,Chateau Haut Miramb AOC Bordeaux 2022 75 cl,ไวน์,,N,,,,,,,400.01,3423290192588,,,Y,,บริษัท ทัช คอมเมอร์เชียล โฮลดิ้ง จำกัด,400.01,Y,469.00,18.000,6.000,12.000
chiang-mai-beer-blossom-weizen,10080,Chiang Mai Beer Blossom Weizen 330 ml,เบียร์คราฟท์,,N,,,,,,,116.33,8854371007524,,,Y,,บริษัท กรุ๊ปบี จำกัด,116.33,Y,180.00,5.000,3.000,9.000
chiang-mai-beer-pink-river-pilsner,10110,Chiang Mai Beer Pink River Pilsner 330 ml,เบียร์คราฟท์,,N,,,,,,,116.33,8854371007708,,,Y,,บริษัท กรุ๊ปบี จำกัด,116.33,Y,180.00,5.000,3.000,9.000
chiang-mai-red-truck,10083,Chiang Mai Beer Red Truck 330 ml,เบียร์คราฟท์,,N,,,,,,,116.33,8854371007517,,,Y,,บริษัท กรุ๊ปบี จำกัด,116.33,Y,180.00,7.000,3.000,9.000
chiang-mai-summer-sky-orange-ipa,10150,Chiang Mai Summer Sky Orange IPA 490 ml,เบียร์คราฟท์,,N,,,,,,,159.00,8855796039695,,,Y,,บริษัท กรุ๊ปบี จำกัด,159.00,Y,215.00,8.000,3.000,6.000
chiang-mai-winter-night,10266,Chiang Mai Winter Wonder Cacao Stout 490 ml,เบียร์คราฟท์,,N,,,,,,,138.55,8855796036328,,,Y,,บริษัท กรุ๊ปบี จำกัด,138.55,Y,190.00,5.000,3.000,9.000
chob-beer-double-ipa,10796,Chob Beer Double IPA 330 ml,เบียร์คราฟท์,,N,,,,,,,179.00,8857124708075,,,Y,,บริษัท กรุ๊ปบี จำกัด,179.00,Y,230.00,2.000,3.000,6.000
chob-beer-hazy-ipa,10072,Chob Beer Hazy IPA 330 ml,เบียร์คราฟท์,,N,,,,,,,159.00,8857124708143,,,Y,,บริษัท กรุ๊ปบี จำกัด,159.00,Y,240.00,3.000,3.000,9.000
chokdee-meechai-ipa-330ml,10113,Chokdee Meechai IPA 330ml,เบียร์คราฟท์,,N,,,,,,,88.39,8859695700748,,,Y,,บริษัท เมอรี่ ริช ด๊อก จำกัด,88.39,Y,109.00,6.000,3.000,6.000
chokdee-meechai-pilsner-330ml,10115,Chokdee Meechai Pilsner 330ml,เบียร์คราฟท์,,N,,,,,,,88.39,8859695700731,,,Y,,บริษัท เมอรี่ ริช ด๊อก จำกัด,88.39,Y,109.00,6.000,3.000,6.000
chokdee-meechai-witbier-330ml,10120,Chokdee Meechai Witbier 330ml,เบียร์คราฟท์,,N,,,,,,,88.39,8859695700755,,,Y,,บริษัท เมอรี่ ริช ด๊อก จำกัด,88.39,Y,109.00,6.000,3.000,6.000
choya-extra-years-70-cl-(with-box),10589,Choya Extra Years 70 CL (with box),เหล้านำเข้า,,N,,,,,,,1230.50,4905846114811,,,Y,,บริษัท อินดิเพนเด้นท์ ไวน์ แอนด์ สปิริต (ประเทศไทย) จำกัด,1230.50,Y,1299.00,3.000,1.000,1.000
choya-kokuto-72-cl,10591,Choya Kokuto 72 CL,เหล้านำเข้า,,N,,,,,,,909.50,4905846117713,,,Y,,บริษัท อินดิเพนเด้นท์ ไวน์ แอนด์ สปิริต (ประเทศไทย) จำกัด,909.50,Y,1090.00,2.000,1.000,1.000
choya-natural-honey-65cl,10617,Choya Natural Honey 65cl,เหล้านำเข้า,,N,,,,,,,802.50,4905846118321,,,Y,,บริษัท อินดิเพนเด้นท์ ไวน์ แอนด์ สปิริต (ประเทศไทย) จำกัด,802.50,Y,950.00,3.000,1.000,
choya-natural-shiso-65-cl,10535,Choya Natural Shiso 65 CL,เหล้านำเข้า,,N,,,,,,,802.50,4905846118314,,,Y,,บริษัท อินดิเพนเด้นท์ ไวน์ แอนด์ สปิริต (ประเทศไทย) จำกัด,802.50,Y,950.00,4.000,1.000,1.000
choya-uji-green-tea-umeshu-72-cl,10582,Choya Uji Green-Tea Umeshu 72 CL,เหล้านำเข้า,,N,,,,,,,684.80,49058461194,,,Y,,บริษัท อินดิเพนเด้นท์ ไวน์ แอนด์ สปิริต (ประเทศไทย) จำกัด,684.80,Y,850.00,3.000,1.000,1.000
choya-yuzu-75-cl,10541,Choya Yuzu 75 CL,เหล้านำเข้า,,N,,,,,,,749.00,4905846118123,,,Y,,บริษัท อินดิเพนเด้นท์ ไวน์ แอนด์ สปิริต (ประเทศไทย) จำกัด,749.00,Y,890.00,3.000,1.000,1.000
dao-coffee-2in1-latte-360g,10820,Dao Coffee 2in1 Latte 360g,กาแฟ,,N,,,,,,,150.52,8859448900548,,,Y,,บริษัท ดาวเรืองอิมพอร์ตเอ็กซ์พอร์ต(ไทยแลนด์) จำกัด,150.52,Y,189.00,59.000,24.000,60.000
dao-coffee-3-in-1-original-stick-500x24,10813,Dao Coffee 3 in 1 Original Stick 500g,กาแฟ,,N,,,,,,,126.15,8859448902245,,,Y,,บริษัท ดาวเรืองอิมพอร์ตเอ็กซ์พอร์ต(ไทยแลนด์) จำกัด,124.10,Y,189.00,58.000,24.000,60.000
dao-coffee-3-in-1-premium-600g,10815,Dao Coffee 3 in 1 Premium 600g,กาแฟ,,N,,,,,,,166.42,8859448900531,,,Y,,บริษัท ดาวเรืองอิมพอร์ตเอ็กซ์พอร์ต(ไทยแลนด์) จำกัด,161.75,Y,209.00,66.000,24.000,60.000
